1000 3
4.193115925165746133e-02 -1.385112005235314214e+01 -4.193115925165746133e-02
4.376633426378797459e-02 -1.373652770235600507e+01 -4.376633426378797459e-02
4.565948179256496681e-02 -1.362204887090290839e+01 -4.565948179256496681e-02
4.761154785369772074e-02 -1.350771493503765619e+01 -4.761154785369772768e-02
4.962346508033214920e-02 -1.339355626619316553e+01 -4.962346508033213532e-02
5.169615176812790425e-02 -1.327960224562971092e+01 -5.169615176812790425e-02
5.383051092165760942e-02 -1.316588127994927682e+01 -5.383051092165760942e-02
5.602742930303856311e-02 -1.305242081667706344e+01 -5.602742930303856311e-02
5.828777648370490200e-02 -1.293924735990116481e+01 -5.828777648370490200e-02
6.061240390022084451e-02 -1.282638648596130615e+01 -6.061240390022084451e-02
6.300214391503017319e-02 -1.271386285917779624e+01 -6.300214391503017319e-02
6.545780888302846212e-02 -1.260170024761157670e+01 -6.545780888302844824e-02
6.798019022483783869e-02 -1.248992153884669065e+01 -6.798019022483783869e-02
7.057005750765216190e-02 -1.237854875578605274e+01 -7.057005750765216190e-02
7.322815753451350496e-02 -1.226760307245205261e+01 -7.322815753451350496e-02
7.595521344286755572e-02 -1.215710482978325402e+01 -7.595521344286755572e-02
7.875192381323423141e-02 -1.204707355141864156e+01 -7.875192381323423141e-02
8.161896178881843100e-02 -1.193752795946107881e+01 -8.161896178881843100e-02
8.455697420687093013e-02 -1.182848599021174074e+01 -8.455697420687093013e-02
8.756658074259707214e-02 -1.171996480986741673e+01 -8.756658074259707214e-02
9.064837306639468573e-02 -1.161198083017274030e+01 -9.064837306639468573e-02
9.380291401518869865e-02 -1.150454972401961662e+01 -9.380291401518869865e-02
9.703073677861299984e-02 -1.139768644098625572e+01 -9.703073677861299984e-02
1.003323441007743233e-01 -1.129140522280842873e+01 -1.003323441007743233e-01
1.037082074983146501e-01 -1.118571961877573528e+01 -1.037082074983146501e-01
1.071587664954726793e-01 -1.108064250104588311e+01 -1.071587664954726793e-01
1.106844278768244344e-01 -1.097618607987018713e+01 -1.106844278768244344e-01
1.142855649583666838e-01 -1.087236191872370838e+01 -1.142855649583666838e-01
1.179625168775859101e-01 -1.076918094933362902e+01 -1.179625168775859240e-01
1.217155879031370930e-01 -1.066665348659971180e+01 -1.217155879031370930e-01
1.255450467647350465e-01 -1.056478924340090941e+01 -1.255450467647350465e-01
1.294511260038432587e-01 -1.046359734528235563e+01 -1.294511260038432587e-01
1.334340213457211044e-01 -1.036308634501732939e+01 -1.334340213457211044e-01
1.374938910933715397e-01 -1.026326423703874013e+01 -1.374938910933715397e-01
1.416308555439098615e-01 -1.016413847173526541e+01 -1.416308555439098615e-01
1.458449964278503430e-01 -1.006571596960716342e+01 -1.458449964278503430e-01
1.501363563717885152e-01 -9.968003135277189841e+00 -1.501363563717885152e-01
1.545049383849319558e-01 -9.871005871352254601e+00 -1.545049383849319558e-01
1.589507053699138472e-01 -9.774729592131631506e+00 -1.589507053699138472e-01
